architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,ac_facing_sources,short_circuit_strength_GVA,trials,p50_thdv_pct,p95_thdv_pct,p99_thdv_pct,mean_thdv_pct,max_individual_p95_pct,dominant_harmonic,exceeds_5pct_guide_p95
Traditional AC,1,0.25,69,3,coherent,50,1,0.75,600,15.270281379027761,23.34914737044007,30.54550163643405,15.760257120726656,17.716781662242855,11,True
Local SST,1,0.25,69,3,coherent,50,1,0.75,600,5.608145414173472,9.007438047517132,10.542477949901821,5.909828916788567,7.154356626607568,11,True
Subtransmission DC backbone,1,0.25,69,3,coherent,50,1,0.75,600,1.6423989303902151,2.613743077756167,2.972940161014989,1.7366043035565852,2.0134869044266894,11,False
Traditional AC,1,0.25,69,3,coherent,100,1,0.75,600,16.60713837894255,25.941268972312024,32.05851458246869,17.491270096867932,19.835529264993,11,True
Local SST,1,0.25,69,3,coherent,100,1,0.75,600,6.404097532398238,10.046447432692249,11.966543302721675,6.638046171457794,7.872732618301636,11,True
Subtransmission DC backbone,1,0.25,69,3,coherent,100,1,0.75,600,1.7480903165290496,2.770241816075712,3.447466005407779,1.825018969451098,2.13282473157532,11,False
Traditional AC,1,0.25,69,5,random,5,1,1.25,600,7.088268807656906,11.223839498106868,14.536345243203321,7.429592375743553,8.242515749357906,11,True
Local SST,1,0.25,69,5,random,5,1,1.25,600,2.6990015234349407,4.28884714752558,5.19718778947951,2.8120983300011924,3.384976940967398,11,False
Subtransmission DC backbone,1,0.25,69,5,random,5,1,1.25,600,0.9656543268142187,1.5443337969162774,1.8218035423174443,1.0103303251378064,1.2076357097222068,11,False
Traditional AC,1,0.25,69,5,random,20,1,1.25,600,8.134012193044624,13.159372438480563,15.910925166755892,8.467986263705793,9.786331850935381,11,True
Local SST,1,0.25,69,5,random,20,1,1.25,600,2.9772124345185147,4.722981803305106,5.45157625500766,3.141306792270552,3.5785833042749,11,False
Subtransmission DC backbone,1,0.25,69,5,random,20,1,1.25,600,0.9971130200869314,1.5129407923867177,1.7508863810370086,1.0274434583923713,1.1996958283391765,11,False
Traditional AC,1,0.25,69,5,random,50,1,1.25,600,9.129316194172432,14.72599622556227,17.547898102389,9.544090706503269,10.632542283362582,11,True
Local SST,1,0.25,69,5,random,50,1,1.25,600,3.3644029577031,5.147642314140993,6.214422950590119,3.517279638422066,4.09219814008294,11,True
Subtransmission DC backbone,1,0.25,69,5,random,50,1,1.25,600,1.0029362197651737,1.5966127864730821,1.8431552804494507,1.0548042058767522,1.2294508767045609,11,False
Traditional AC,1,0.25,69,5,random,100,1,1.25,600,10.2946108847613,17.178618041885656,20.660294927455247,10.937287153486844,13.159600312487827,11,True
Local SST,1,0.25,69,5,random,100,1,1.25,600,3.859355383516818,6.063414686369258,6.919387674999054,4.000573521614669,4.67163391540706,11,True
Subtransmission DC backbone,1,0.25,69,5,random,100,1,1.25,600,1.0342040079407107,1.6807863519890112,1.907934230785851,1.0805628582996982,1.2843033288190013,11,False
Traditional AC,1,0.25,69,5,partial,5,1,1.25,600,7.220753714415127,11.472075923908156,13.35861181076519,7.487837961100849,8.68023589291345,11,True
Local SST,1,0.25,69,5,partial,5,1,1.25,600,2.714833860012215,4.244308144150984,5.3549972679810125,2.845561663217069,3.2458506902675213,11,False
Subtransmission DC backbone,1,0.25,69,5,partial,5,1,1.25,600,0.9573689291684095,1.4857610238077101,1.8021176751589905,0.9932751340136876,1.158853076171633,11,False
Traditional AC,1,0.25,69,5,partial,20,1,1.25,600,8.00319797826947,12.306041379669763,14.111908483495306,8.311493097490981,9.387657331141542,11,True
Local SST,1,0.25,69,5,partial,20,1,1.25,600,3.0777405086873433,4.942054680120485,5.811819027705814,3.1955294863517185,3.7955799714362772,11,False
Subtransmission DC backbone,1,0.25,69,5,partial,20,1,1.25,600,0.9738560811106692,1.5531520159429155,1.9428355824689414,1.0315941770837402,1.2338601327608358,11,False
Traditional AC,1,0.25,69,5,partial,50,1,1.25,600,9.087368464665014,14.374966140736653,17.238941447545255,9.50168450717955,10.70124273307154,11,True
Local SST,1,0.25,69,5,partial,50,1,1.25,600,3.3980831790092614,5.4976465844349,6.744234915099501,3.5391679134238014,4.258914136451222,11,True
Subtransmission DC backbone,1,0.25,69,5,partial,50,1,1.25,600,1.0261340690716807,1.6363272237697095,1.8950862204161671,1.073017910824487,1.2356601558661688,11,False
Traditional AC,1,0.25,69,5,partial,100,1,1.25,600,10.069249659894627,15.839062322524345,19.323415624503188,10.584708960433085,12.156311653117035,11,True
Local SST,1,0.25,69,5,partial,100,1,1.25,600,3.822841945265248,6.133104084323414,7.170125949144034,4.022149118680785,4.811305227241903,11,True
Subtransmission DC backbone,1,0.25,69,5,partial,100,1,1.25,600,1.0367578119467733,1.662716420254273,2.010819728112157,1.0986868213822345,1.3060560058643529,11,False
Traditional AC,1,0.25,69,5,coherent,5,1,1.25,600,7.158864414870087,11.411125004555096,13.893301973292237,7.512936401921606,8.781015363138343,11,True
Local SST,1,0.25,69,5,coherent,5,1,1.25,600,2.685997953952426,4.25086265125742,5.223419058677035,2.8033559838255306,3.352774229451993,11,False
Subtransmission DC backbone,1,0.25,69,5,coherent,5,1,1.25,600,0.9306459749359568,1.5273534158596946,1.8149885932375305,0.9841741187183669,1.1847428814674168,11,False
Traditional AC,1,0.25,69,5,coherent,20,1,1.25,600,7.701301582463381,12.584916616949016,14.570664239791776,8.192601451443059,9.486390223533474,11,True
Local SST,1,0.25,69,5,coherent,20,1,1.25,600,3.1085304378259213,4.7755498343786025,5.398339487866703,3.184389443041417,3.659628787428402,11,False
Subtransmission DC backbone,1,0.25,69,5,coherent,20,1,1.25,600,0.9721275844591342,1.5490888002040282,1.7897542254921328,1.0176509238160318,1.1993114558130988,11,False
Traditional AC,1,0.25,69,5,coherent,50,1,1.25,600,9.069229301532577,14.404154170980345,17.79023289427343,9.483257923429203,10.66365747290784,11,True
Local SST,1,0.25,69,5,coherent,50,1,1.25,600,3.445044669603389,5.433817508868796,6.111801139347395,3.6080473625670266,4.113130246384107,11,True
Subtransmission DC backbone,1,0.25,69,5,coherent,50,1,1.25,600,1.0069257532297664,1.5793339714284222,1.890120128155839,1.0594085495703678,1.220970306990586,11,False
Traditional AC,1,0.25,69,5,coherent,100,1,1.25,600,10.192990383182476,16.54105089621133,19.76021049968288,10.753073474284228,12.48569383455664,11,True
Local SST,1,0.25,69,5,coherent,100,1,1.25,600,3.8745931823398925,6.198939708248891,7.250220589267211,4.033250093931791,4.634944165837147,11,True
Subtransmission DC backbone,1,0.25,69,5,coherent,100,1,1.25,600,1.044683330485611,1.5856886091426698,1.8205650783457752,1.0847870192885556,1.2632656551121046,11,False
Traditional AC,1,0.25,69,10,random,5,1,2.5,600,3.5728458937768357,5.529961140293928,6.278336443747197,3.715631127339816,4.218741222585764,11,True
