useful_mw,ac_corridor_mw,ac_receiving_q_mvar,receiving_voltage_pu,receiving_angle_deg,line_current_kA,source_q_mvar,line_reactive_burden_mvar,converged,voltage_ok,thermal_ok,source_q_ok,binding_constraint,receiving_voltage_real_pu,receiving_voltage_imag_pu
560.0,575.4437596207003,116.84883909877527,0.9794728277769889,-3.465455142663581,2.5080991606468026,154.59220749211784,37.743368393342564,True,True,True,True,none,0.9776817877401679,-0.059205931076540944
565.0,580.5816503315995,117.89213230501434,0.9792683286313435,-3.4971660645647966,2.53102134221434,156.32854650899247,38.43641420397813,True,True,True,True,none,0.9774447515559554,-0.059734555461152916
570.0,585.7195410424986,118.9354255112534,0.979063427591155,-3.5288927572133155,2.553954147760638,158.07151623993946,39.13609072868606,True,True,True,True,none,0.9772070120508847,-0.06026317984576488
575.0,590.8574317533977,119.97871871749247,0.9788581238668411,-3.5606352831330357,2.576897614282857,159.8211265999666,39.84240788247412,True,True,True,True,none,0.9769685681732692,-0.06079180423037685
580.0,595.9953224642968,121.02201192373153,0.9786524166649917,-3.592393705081841,2.599851778919694,161.57738755332838,40.55537562959685,True,True,True,True,none,0.9767294188661989,-0.06132042861498882
585.0,601.1332131751959,122.06530512997061,0.9784463051883475,-3.6241680860531105,2.6228166789522662,163.34030911378872,41.27500398381811,True,True,True,True,none,0.9764895630675124,-0.0618490529996008
590.0,606.271103886095,123.10859833620967,0.9782397886357774,-3.6559584892772494,2.645792351805019,165.10990134489828,42.00130300868861,True,True,True,True,none,0.9762489997097674,-0.06237767738421277
595.0,611.4089945969941,124.15189154244874,0.9780328662022567,-3.687764978223222,2.668778835046634,166.88617436026647,42.73428281781773,True,True,True,True,none,0.9760077277202117,-0.06290630176882475
600.0,616.5468853078933,125.1951847486878,0.9778255370788442,-3.7195876166001036,2.6917761663909445,168.66913832384117,43.473953575153374,True,True,True,True,none,0.9757657460207538,-0.06343492615343671
605.0,621.6847760187924,126.23847795492685,0.9776178004526597,-3.7514264683586496,2.7147843836978667,170.458803450188,44.220325495261136,True,True,True,True,none,0.9755230535279332,-0.0639635505380487
610.0,626.8226667296915,127.28177116116593,0.9774096555068608,-3.783281597692851,2.737803524974319,172.2551800047709,44.97340884360496,True,True,True,True,none,0.9752796491528906,-0.06449217492266066
615.0,631.9605574405906,128.32506436740502,0.9772011014206209,-3.8151530690415365,2.7608336283751624,174.0582783042327,45.73321393682767,True,True,True,True,none,0.975035531801338,-0.06502079930727264
620.0,637.0984481514897,129.36835757364406,0.9769921373691045,-3.84704094708996,2.783874732204152,175.86810871668806,46.499751143043994,True,True,True,True,none,0.9747907003735279,-0.06554942369188461
625.0,642.2363388623888,130.41165077988313,0.9767827625234453,-3.8789452967714166,2.80692687491488,177.6846816620062,47.27303088212307,True,True,True,True,none,0.9745451537642232,-0.0660780480764966
630.0,647.374229573288,131.4549439861222,0.9765729760507215,-3.9108661832688574,2.829990095111742,179.50800761210394,48.053063625981736,True,True,True,True,none,0.9742988908626662,-0.06660667246110856
635.0,652.5121202841871,132.49823719236124,0.9763627771139327,-3.942803672016533,2.8530644315508966,181.3380970912355,48.839859898874266,True,True,True,True,none,0.9740519105525475,-0.06713529684572052
640.0,657.6500109950862,133.54153039860032,0.9761521648719758,-3.974757828701634,2.876149923141248,183.17496067629216,49.63343027769184,True,True,True,True,none,0.9738042117119746,-0.06766392123033249
645.0,662.7879017059853,134.58482360483939,0.9759411384796204,-4.006728719265954,2.899246608945425,185.01860899709905,50.433785392259665,True,True,True,True,none,0.9735557932134404,-0.06819254561494449
650.0,667.9257924168844,135.62811681107848,0.9757296970874851,-4.038716409907558,2.9223545281807617,186.8690527367109,51.240935925632414,True,True,True,True,none,0.9733066539237917,-0.06872116999955645
655.0,673.0636831277835,136.67141001731753,0.9755178398420128,-4.070720967082477,2.9454737202203107,188.72630263172033,52.0548926144028,True,True,True,True,none,0.9730567927041963,-0.06924979438416842
