architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,rss_0p1_20hz_MW,rss_0p1_20hz_pct_load,p99_ramp_MW_s,p99_ramp_pct_load_per_s,p95_pcc_voltage_deviation_pct,buffer_energy_window_MWh,buffer_energy_window_MWh_per_GW,buffer_max_discharge_MW_per_GW,buffer_max_charge_MW_per_GW
Local SST,1,0.25,69,5,coherent,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,6.237574730523313,,,,
Subtransmission DC backbone,1,0.25,69,5,coherent,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.3388397162264085,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,random,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.180572148113021,,,,
Local SST,1,0.25,69,10,random,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.2954962901856113,,,,
Subtransmission DC backbone,1,0.25,69,10,random,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.27806671029317714,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,random,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.665143736582581,,,,
Local SST,1,0.25,69,10,random,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.5833843546713027,,,,
Subtransmission DC backbone,1,0.25,69,10,random,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.33985931258054974,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,random,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,3.6342869135217017,,,,
Local SST,1,0.25,69,10,random,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,2.1591604836426854,,,,
Subtransmission DC backbone,1,0.25,69,10,random,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.46344451715529517,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,random,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,5.249525541753569,,,,
Local SST,1,0.25,69,10,random,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,3.1187873652616567,,,,
Subtransmission DC backbone,1,0.25,69,10,random,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.6694198581132043,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,partial,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.180572148113021,,,,
Local SST,1,0.25,69,10,partial,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.2954962901856113,,,,
Subtransmission DC backbone,1,0.25,69,10,partial,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.27806671029317714,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,partial,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.665143736582581,,,,
Local SST,1,0.25,69,10,partial,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.5833843546713027,,,,
Subtransmission DC backbone,1,0.25,69,10,partial,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.33985931258054974,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,partial,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,3.6342869135217017,,,,
Local SST,1,0.25,69,10,partial,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,2.1591604836426854,,,,
Subtransmission DC backbone,1,0.25,69,10,partial,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.46344451715529517,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,partial,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,5.249525541753569,,,,
Local SST,1,0.25,69,10,partial,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,3.1187873652616567,,,,
Subtransmission DC backbone,1,0.25,69,10,partial,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.6694198581132043,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,coherent,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.180572148113021,,,,
Local SST,1,0.25,69,10,coherent,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.2954962901856113,,,,
Subtransmission DC backbone,1,0.25,69,10,coherent,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.27806671029317714,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,coherent,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.665143736582581,,,,
Local SST,1,0.25,69,10,coherent,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.5833843546713027,,,,
Subtransmission DC backbone,1,0.25,69,10,coherent,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.33985931258054974,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,coherent,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,3.6342869135217017,,,,
