time_s,AI_load_MW,grid_traditional_MW,grid_ac_filter_storage_MW,grid_local_sst_MW,grid_local_sst_coord_MW,grid_dc_backbone_MW,dc_buffer_power_MW,dc_buffer_energy_MWh,pcc_v_ac_pct,pcc_v_local_sst_pct,pcc_v_dc_pct,v800_ac_pct,v800_local_sst_pct,v800_dc_pct
183.56,1065.7038622229825,1065.7038622229825,982.2138542641293,1056.4843051637117,990.2473213082812,981.6968378315003,84.00702439148222,-0.33564291374083405,0.6570386222298248,0.5640903574284949,-0.206065403822613,3.613712422264036,0.6541025412467525,0.2948150168014063
183.58,1065.532856811426,1065.532856811426,982.4512303397626,1056.6458864431352,990.5472636808038,981.8015020249833,83.7313547864427,-0.335177739547576,0.6553285681142597,0.5657061702227293,-0.20501876188778284,3.604307124628429,0.6480782842805811,0.2939216667682142
183.6,1065.3699473391034,1065.3699473391034,982.6874660007294,1056.8016732448489,990.8453620220719,981.905832168946,83.46411517015747,-0.33471405001885296,0.6536994733910342,0.5672640382398663,-0.20397546044815612,3.5953471036506883,0.6423132606654931,0.2930613685909987
183.62,1065.215402971478,1065.215402971478,982.9225883282813,1056.9519184185388,991.141657005934,982.0098391237556,83.20556384772237,-0.3342517968863656,0.6521540297147794,0.5687664899767652,-0.20293539090005994,3.5868471634312864,0.6368098521460743,0.2922351772108775
183.64000000000001,1065.0694776394735,1065.0694776394735,983.1566250499657,1057.0968748331984,991.4361901558684,982.1135340532384,82.9559435862351,-0.33379093053310877,0.6506947763947346,0.5702160541233615,-0.20189844160523196,3.5788212701710407,0.6315701050367406,0.291444086023894
183.66,1064.932409603231,1064.932409603231,983.3896044931373,1057.236795096949,991.7290037791647,982.2169284047364,82.71548119849456,-0.333331400082006,0.64932409603231,0.5716152567608674,-0.20086449809025111,3.5712825281777056,0.6265957245468986,0.290689025175928
183.68,1064.8044210428407,1064.8044210428407,983.6215555374384,1057.3719312745543,992.0201408997372,982.3200338886792,82.48438715416148,-0.3328731534867051,0.6480442104284067,0.5729666185369205,-0.19983344325082386,3.564243157356236,0.6218880697318363,0.28997085996648114
183.70000000000002,1064.6857176767492,1064.6857176767492,983.8525075663254,1057.502534603165,992.3096451896854,982.422862457703,82.26285521904617,-0.3324161376243771,0.6468571767674915,0.5742726518230279,-0.1988051575605857,3.5577144722212037,0.6174481490772732,0.28929038936406754
183.72,1064.5764884084983,1064.5764884084983,984.0824904177275,1057.6288552068318,992.5975608997205,982.525426285357,82.05106212314138,-0.3319602983903596,0.6457648840849833,0.5755358578596952,-0.19777951928404602,3.551706862467409,0.6132766167244209,0.2886483446357563
183.74,1064.4769050024013,1064.4769050024013,984.3115343339232,1057.751141810324,992.8839327885759,982.6277377444294,81.84916725797189,-0.33150558079448206,0.6447690500240127,0.576758723894618,-0.19675640469332167,3.5462297751320704,0.6093737693413936,0.2880453880932232
183.76,1064.3871217887179,1064.3871217887179,984.5396699107175,1057.8696414527953,993.1688060515246,982.7298093849341,81.65731240378375,-0.33105192905890546,0.6438712178871788,0.5779437203193311,-0.19573568828827434,3.541291698379484,0.6057395436457604,0.28748211195748014
183.78,1064.30727539883,1064.30727539883,984.7669280460113,1057.9845992018318,993.4522262481274,982.831653911793,81.47562148703696,-0.3305992867173108,0.6430727539882991,0.5790932978096953,-0.19471724301968607,3.536900146935645,0.6023735145817155,0.28695903734421063
183.8,1064.2374845308755,1064.2374845308755,984.9933398878486,1058.0962578684218,993.7342392293336,982.9332841622537,81.30420036862176,-0.33014759671526295,0.6423748453087547,0.580209884475596,-0.19370094051507863,3.533061649198151,0.5992748941544566,0.28647661337147134
183.82,1064.177849746248,1064.177849746248,985.2189367820321,1058.204857723383,994.0148910640623,983.0347130830827,81.14313666316536,-0.32969680151157865,0.6417784974624805,0.5812958830252068,-0.1926866513067887,3.529781736043643,0.5964425309231983,0.28603521639130375
183.84,1064.1284532972982,1064.1284532972982,985.4437502193975,1058.3106362157744,994.29422796539,983.1359537075698,80.99249958972837,-0.3292468431805246,0.6412845329729817,0.5823536679491212,-0.19167424506191766,3.5270649313513993,0.5938749101528205,0.28563514934652995
183.86,1064.0893589865475,1064.0893589865475,985.6678117828367,1058.4138276938238,994.5722962164702,983.2370191323874,80.85233985416005,-0.32879766351466816,0.640893589865475,0.5833855827296157,-0.19066359081374118,3.524914744260113,0.5915701546236136,0.28527664125389196
183.88,1064.0606120576488,1064.0606120576488,985.8911530941609,1058.5146631288922,994.8491420963156,983.3379224943416,80.7226895633072,-0.32834920412820534,0.6406061205764877,0.5843939370802991,-0.18965455719419994,3.523333663170683,0.5895260260968849,0.28495984681438885
183.9,1064.042239118276,1064.042239118276,986.1138057608963,1058.6133698429883,995.1248118055664,983.4386769470556,80.60356217122046,-0.3279014065605874,0.6404223911827602,0.5853810042212604,-0.18864701266705994,3.5223231515051823,0.5877399274333388,0.2846848461514699
183.92000000000002,1064.034248095085,1064.034248095085,986.3358013231019,1058.710171240347,995.3993513923773,983.5392956376274,80.49495245745766,-0.32745421238026823,0.640342480950851,0.5863490181948486,-0.18764082576134114,3.5218836452296816,0.5862089053601148,0.28445164467756245
183.94,1064.0366282208117,1064.0366282208117,986.5571712003034,1058.8052865435698,995.6728066785464,983.6397916832993,80.3968365375124,-0.32700756328839314,0.6403662822081173,0.5873001712270752,-0.18663586530462226,3.5220145521446455,0.5849296538809835,0.2842601730891252
