panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,4.868456375838926,69,138,35.278669390137146
5b,4.868456375838926,138,276,17.639334695068573
5b,4.868456375838926,230,460,10.583600817041145
5b,4.868456375838926,320,640,7.606963087248322
5b,4.901342281879195,69,138,35.51697305709562
5b,4.901342281879195,138,276,17.75848652854781
5b,4.901342281879195,230,460,10.655091917128686
5b,4.901342281879195,320,640,7.6583473154362425
5b,4.934228187919463,69,138,35.75527672405408
5b,4.934228187919463,138,276,17.87763836202704
5b,4.934228187919463,230,460,10.726583017216225
5b,4.934228187919463,320,640,7.709731543624161
5b,4.967114093959732,69,138,35.99358039101256
5b,4.967114093959732,138,276,17.99679019550628
5b,4.967114093959732,230,460,10.798074117303766
5b,4.967114093959732,320,640,7.761115771812081
5b,5.0,69,138,36.231884057971016
5b,5.0,138,276,18.115942028985508
5b,5.0,230,460,10.869565217391305
5b,5.0,320,640,7.8125
