panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,1.514093959731544,69,138,10.971695360373507
5b,1.514093959731544,138,276,5.485847680186754
5b,1.514093959731544,230,460,3.291508608112052
5b,1.514093959731544,320,640,2.3657718120805376
5b,1.5469798657718123,69,138,11.209999027331975
5b,1.5469798657718123,138,276,5.604999513665987
5b,1.5469798657718123,230,460,3.362999708199592
5b,1.5469798657718123,320,640,2.417156040268457
5b,1.5798657718120808,69,138,11.448302694290442
5b,1.5798657718120808,138,276,5.724151347145221
5b,1.5798657718120808,230,460,3.4344908082871326
5b,1.5798657718120808,320,640,2.4685402684563766
5b,1.6127516778523494,69,138,11.68660636124891
5b,1.6127516778523494,138,276,5.843303180624455
5b,1.6127516778523494,230,460,3.505981908374673
5b,1.6127516778523494,320,640,2.519924496644296
5b,1.6456375838926178,69,138,11.924910028207377
5b,1.6456375838926178,138,276,5.962455014103688
5b,1.6456375838926178,230,460,3.577473008462213
5b,1.6456375838926178,320,640,2.5713087248322153
5b,1.6785234899328862,69,138,12.163213695165844
5b,1.6785234899328862,138,276,6.081606847582922
5b,1.6785234899328862,230,460,3.6489641085497526
5b,1.6785234899328862,320,640,2.622692953020135
5b,1.7114093959731547,69,138,12.401517362124311
5b,1.7114093959731547,138,276,6.2007586810621556
5b,1.7114093959731547,230,460,3.7204552086372926
5b,1.7114093959731547,320,640,2.6740771812080544
5b,1.744295302013423,69,138,12.639821029082777
5b,1.744295302013423,138,276,6.319910514541388
5b,1.744295302013423,230,460,3.791946308724833
5b,1.744295302013423,320,640,2.7254614093959737
5b,1.7771812080536917,69,138,12.878124696041244
5b,1.7771812080536917,138,276,6.439062348020622
5b,1.7771812080536917,230,460,3.863437408812373
5b,1.7771812080536917,320,640,2.776845637583893
5b,1.8100671140939602,69,138,13.11642836299971
5b,1.8100671140939602,138,276,6.558214181499855
5b,1.8100671140939602,230,460,3.934928508899913
5b,1.8100671140939602,320,640,2.8282298657718123
5b,1.8429530201342286,69,138,13.354732029958177
5b,1.8429530201342286,138,276,6.677366014979088
5b,1.8429530201342286,230,460,4.0064196089874535
5b,1.8429530201342286,320,640,2.879614093959732
5b,1.875838926174497,69,138,13.593035696916644
5b,1.875838926174497,138,276,6.796517848458322
5b,1.875838926174497,230,460,4.077910709074993
5b,1.875838926174497,320,640,2.9309983221476514
5b,1.9087248322147654,69,138,13.831339363875111
5b,1.9087248322147654,138,276,6.915669681937556
5b,1.9087248322147654,230,460,4.149401809162533
5b,1.9087248322147654,320,640,2.9823825503355708
5b,1.9416107382550338,69,138,14.069643030833578
5b,1.9416107382550338,138,276,7.034821515416789
5b,1.9416107382550338,230,460,4.220892909250073
5b,1.9416107382550338,320,640,3.03376677852349
5b,1.9744966442953025,69,138,14.307946697792046
5b,1.9744966442953025,138,276,7.153973348896023
5b,1.9744966442953025,230,460,4.2923840093376135
5b,1.9744966442953025,320,640,3.08515100671141
5b,2.0073825503355707,69,138,14.546250364750511
5b,2.0073825503355707,138,276,7.273125182375256
5b,2.0073825503355707,230,460,4.3638751094251536
5b,2.0073825503355707,320,640,3.136535234899329
5b,2.040268456375839,69,138,14.784554031708979
5b,2.040268456375839,138,276,7.392277015854489
5b,2.040268456375839,230,460,4.435366209512694
5b,2.040268456375839,320,640,3.1879194630872485
5b,2.0731543624161075,69,138,15.022857698667446
5b,2.0731543624161075,138,276,7.511428849333723
5b,2.0731543624161075,230,460,4.506857309600234
5b,2.0731543624161075,320,640,3.239303691275168
5b,2.1060402684563764,69,138,15.261161365625917
5b,2.1060402684563764,138,276,7.630580682812958
5b,2.1060402684563764,230,460,4.5783484096877745
5b,2.1060402684563764,320,640,3.290687919463088
5b,2.138926174496645,69,138,15.499465032584382
5b,2.138926174496645,138,276,7.749732516292191
5b,2.138926174496645,230,460,4.6498395097753145
5b,2.138926174496645,320,640,3.3420721476510074
5b,2.171812080536913,69,138,15.737768699542851
5b,2.171812080536913,138,276,7.868884349771426
5b,2.171812080536913,230,460,4.721330609862855
5b,2.171812080536913,320,640,3.393456375838927
5b,2.2046979865771816,69,138,15.976072366501317
5b,2.2046979865771816,138,276,7.988036183250658
