architecture,ac_voltage_ll_kV,ac_line_to_ground_peak_kV,dc_pole_kV,voltage_envelope_factor,current_limit_kA,ac_power_factor,dc_current_retention_factor,converter_cap_multiplier,ac_transfer_capacity_MW,dc_thermal_capacity_MW,converter_cap_MW,transfer_capacity_MW,capacity_multiplier_vs_ac,capacity_increase_pct,binding_constraint,reference_note
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.4177215189873418,0.98,1.0,2.0,800.5758079521017,943.2911392405064,1601.1516159042035,943.2911392405064,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.4177215189873418,0.98,1.0,2.0,800.5758079521017,1155.2909850139395,1601.1516159042035,1155.2909850139395,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.4683544303797467,0.98,1.0,,812.4361902921328,,,812.4361902921328,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.4683544303797467,0.98,1.0,2.0,812.4361902921328,957.2658227848101,1624.8723805842656,957.2658227848101,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.4683544303797467,0.98,1.0,2.0,812.4361902921328,1172.4064070141458,1624.8723805842656,1172.4064070141458,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.518987341772152,0.98,1.0,,824.2965726321639,,,824.2965726321639,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.518987341772152,0.98,1.0,2.0,824.2965726321639,971.2405063291139,1648.5931452643279,971.2405063291139,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.518987341772152,0.98,1.0,2.0,824.2965726321639,1189.5218290143525,1648.5931452643279,1189.5218290143525,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.569620253164557,0.98,1.0,,836.1569549721951,,,836.1569549721951,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.569620253164557,0.98,1.0,2.0,836.1569549721951,985.2151898734177,1672.3139099443902,985.2151898734177,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.569620253164557,0.98,1.0,2.0,836.1569549721951,1206.6372510145588,1672.3139099443902,1206.6372510145588,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.620253164556962,0.98,1.0,,848.0173373122262,,,848.0173373122262,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.620253164556962,0.98,1.0,2.0,848.0173373122262,999.1898734177214,1696.0346746244525,999.1898734177214,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.620253164556962,0.98,1.0,2.0,848.0173373122262,1223.7526730147654,1696.0346746244525,1223.7526730147654,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.670886075949367,0.98,1.0,,859.8777196522574,,,859.8777196522574,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.670886075949367,0.98,1.0,2.0,859.8777196522574,1013.1645569620254,1719.7554393045148,1013.1645569620254,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.670886075949367,0.98,1.0,2.0,859.8777196522574,1240.868095014972,1719.7554393045148,1240.868095014972,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.7215189873417724,0.98,1.0,,871.7381019922886,,,871.7381019922886,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.7215189873417724,0.98,1.0,2.0,871.7381019922886,1027.139240506329,1743.4762039845773,1027.139240506329,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.7215189873417724,0.98,1.0,2.0,871.7381019922886,1257.9835170151787,1743.4762039845773,1257.9835170151787,1.4430750636460155,44.307506364601544,thermal_current_limit,
