harmonic_order,nominal,low_damping,shifted
5.5317725752508355,1.0093070035686034,1.1276409227381732,1.000223318309547
5.642140468227424,1.011753332287202,1.153063932169906,1.0002995631368645
5.752508361204013,1.0147722168810074,1.1826792935360202,1.0003999317965153
5.862876254180602,1.0184783786522391,1.2169897938684695,1.0005313944630103
5.973244147157191,1.0230046471205383,1.256520936966596,1.000702718912765
6.083612040133779,1.0285036722602314,1.301814328803659,1.0009248680694345
6.193979933110367,1.0351495348544346,1.3534194262602723,1.0012114666305594
6.304347826086956,1.0431391789533389,1.411883606845262,1.0015793437017233
6.414715719063545,1.0526935786614455,1.4777405699204447,1.002049157669976
6.525083612040134,1.064058540614157,1.5514971416707577,1.0026461083640643
6.635451505016722,1.0775050342633938,1.6336186253458123,1.003400739780159
6.745819397993311,1.0933289352833329,1.7245129132247201,1.0043498342058015
6.856187290969899,1.1118500638952433,1.8245136548008904,1.0055373953678963
6.966555183946488,1.1334104005773877,1.93386285376511,1.0070157141950449
7.076923076923077,1.1583713673266192,2.0526933409256163,1.0088465058775868
7.187290969899665,1.1871100741442084,2.181011637335792,1.0111021011221746
7.297658862876254,1.2200144483570652,2.318681777512949,1.013866667868126
7.408026755852843,1.2574771891757082,2.4654107026530014,1.0172374323516185
7.518394648829431,1.2998885216778737,2.6207358543485304,1.021325860426787
7.62876254180602,1.3476277630044138,2.784015597163023,1.0262587517078348
7.739130434782608,1.401053758391519,2.9544230708957895,1.0321791906885287
7.849498327759197,1.4604942947504442,3.130944018846518,1.039247290909125
7.959866220735786,1.5262346534166709,3.3123790563735542,1.0476406609360294
8.070234113712374,1.5985055195701952,3.4973507353675655,1.0575545149241636
8.180602006688963,1.6774705214284558,3.684315627167251,1.0692013464267478
8.290969899665551,1.7632137250545274,3.8715814925803453,1.0828100825142017
8.40133779264214,1.8557274576908862,4.057329438047831,1.0986246367786117
8.511705685618729,1.9549008709946438,4.239640777807404,1.1169017850169394
8.622073578595318,2.060509682517752,4.416528140342951,1.1379082968179837
8.732441471571907,2.172207546546236,4.585970181269875,1.161917270323158
8.842809364548494,2.289519501658245,4.745949102199925,1.1892036363271647
8.953177257525084,2.4118379202987654,4.89449003401484,1.2200388216645088
9.063545150501671,2.5384213442233463,5.029701230745229,1.2546845902793067
9.173913043478262,2.6683965286044153,5.149813943292376,1.2933861130093147
9.284280936454849,2.8007639376401783,5.25322080554768,1.336364353141748
9.394648829431437,2.9344068373846435,5.338511572340732,1.3838078931242643
9.505016722408026,3.0681040199639513,5.404505100397521,1.4358643670503795
9.615384615384615,3.2005460710522144,5.450276559323653,1.4926317020320026
9.725752508361204,3.3303549639794476,5.475178996616288,1.5541494074571909
9.836120401337793,3.4561066343286155,5.478858553887701,1.6203901824032783
9.946488294314381,3.576356063974612,5.461262834063282,1.6912521360795414
10.05685618729097,3.6896642890142415,5.422642143007463,1.7665519321129972
10.167224080267559,3.794626647584734,5.363543564455072,1.846019172945018
10.277591973244148,3.8899015063734077,5.28479806429831,1.9292923340530992
