campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,Local SST,Subtransmission DC backbone,Traditional AC,dc_vs_traditional_reduction_pct,dc_vs_local_reduction_pct,local_vs_traditional_reduction_pct,dc_p95_minus_traditional_p95_pctpt,dc_p95_minus_local_p95_pctpt
1,0.25,138,3,partial,100,9.768239566896646,2.745366797166285,26.14725939308278,89.50036500615981,71.89496860345243,62.64144008346504,-23.401892595916497,-7.022872769730361
1,0.25,138,3,random,5,7.051035241852069,2.6573249671201467,19.712496022014605,86.51959161258682,62.31298134283389,64.2306320114024,-17.05517105489446,-4.393710274731922
1,0.25,138,3,random,20,7.9918506777144085,2.5480318841534406,21.248271133904172,88.00828609492022,68.11712346855117,62.388230894877616,-18.70023924975073,-5.443818793560968
1,0.25,138,3,random,50,9.062861580701025,2.6622903951929953,23.740986918572705,88.7861005765086,70.62417458893746,61.82609589152717,-21.078696523379712,-6.40057118550803
1,0.25,138,3,random,100,10.349711369618406,2.7720267453722576,26.724659206228658,89.6274570838075,73.2163859804869,61.27280318243975,-23.9526324608564,-7.577684624246149
1,0.25,138,5,coherent,5,4.185405706135154,1.5280298263630143,11.303917165521078,86.48229809199441,63.49147648642137,62.9738466334363,-9.775887339158064,-2.6573758797721396
1,0.25,138,5,coherent,20,4.517463568827807,1.590489667378349,12.290573517888264,87.05927217258431,64.79241850773685,63.244485196293866,-10.700083850509914,-2.9269739014494585
1,0.25,138,5,coherent,50,5.62750225657542,1.4837240777444876,13.81219285794143,89.2578673567289,73.6344116786299,59.25699623184857,-12.328468780196943,-4.1437781788309325
1,0.25,138,5,coherent,100,6.089227490354127,1.6107494388799157,16.516635872413932,90.24771478088836,73.54755687102372,63.13276179609706,-14.905886433534016,-4.4784780514742115
1,0.25,138,5,partial,5,4.18279958309692,1.5566725727109882,11.132761254183345,86.01719252601382,62.78395505723855,62.42801325210172,-9.576088681472356,-2.626127010385932
1,0.25,138,5,partial,20,4.839060447208619,1.564299473205485,12.496131450379591,87.48173001046683,67.67348764763125,61.275531820196846,-10.931831977174106,-3.2747609740031347
1,0.25,138,5,partial,50,5.48415150975472,1.5923861545455422,14.624406419317829,89.11144761101475,70.96385554423237,62.50000613692919,-13.032020264772287,-3.891765355209178
1,0.25,138,5,partial,100,6.236089348072381,1.5898246173472577,15.703423758801272,89.87593634505207,74.50606415960536,60.288345752770944,-14.113599141454014,-4.6462647307251235
1,0.25,138,5,random,5,4.1799827527230615,1.5176246587539246,11.343968679399225,86.62174851108371,63.69304017426235,63.152377524508175,-9.826344020645301,-2.6623580939691367
1,0.25,138,5,random,20,4.76947883993245,1.5133033765548332,13.410850918889956,88.71582880379904,68.2710957036919,64.43567325609172,-11.897547542335122,-3.256175463377617
1,0.25,138,5,random,50,5.449008741713232,1.57141889212014,14.662604546639125,89.28281201936711,71.16138059954612,62.8373750080969,-13.091185654518984,-3.8775898495930923
1,0.25,138,5,random,100,6.167666718393661,1.6566978570907045,15.601820460495732,89.38138109404917,73.13898540999337,60.46828808208392,-13.945122603405029,-4.510968861302956
1,0.25,138,10,coherent,5,2.0812030787741467,0.7273544961765348,5.644540554213568,87.11401770984575,65.05124830946554,63.128919727212185,-4.917186058037033,-1.3538485825976119
1,0.25,138,10,coherent,20,2.414445746415329,0.7678535266518978,6.2371018984331394,87.68893727959143,68.19752409877455,61.288980271079474,-5.469248371781242,-1.646592219763431
1,0.25,138,10,coherent,50,2.7407063588622793,0.8235428588014122,6.829670126927395,87.94168907873862,69.95143765991476,59.87058953174804,-6.006127268125983,-1.917163500060867
1,0.25,138,10,coherent,100,3.0928722310254084,0.7994065923666867,7.891832631906965,89.87045684249996,74.15326167218839,60.80920142020227,-7.092426039540278,-2.2934656386587218
1,0.25,138,10,partial,5,2.147759810930917,0.7600750137559086,5.544837944085506,86.29220508479143,64.61080005838899,61.26559815473307,-4.784762930329597,-1.3876847971750084
1,0.25,138,10,partial,20,2.36433208041036,0.7994424481998861,6.127635341313709,86.95349178483436,66.18738734614924,61.4152613738358,-5.3281928931138225,-1.5648896322104737
1,0.25,138,10,partial,50,2.6868709612150754,0.7849694545490601,7.495393980269273,89.52730894979773,70.78499615798164,64.15303894247666,-6.710424525720213,-1.9019015066660154
1,0.25,138,10,partial,100,2.96995974487873,0.8123396646060553,7.849098431363837,89.65053538684053,72.6481254162849,62.16177219779523,-7.036758766757782,-2.157620080272675
1,0.25,138,10,random,5,2.043929619711267,0.7573960800867247,5.51021635476547,86.25469434731549,62.944121324798004,62.90654507706237,-4.752820274678745,-1.2865335396245423
1,0.25,138,10,random,20,2.4161076996229074,0.7600890099518259,6.0097826420776075,87.35247087590076,68.54076454992233,59.79708679135109,-5.249693632125782,-1.6560186896710816
1,0.25,138,10,random,50,2.685964487219485,0.781092420967139,7.569083888802751,89.68048931096351,70.91948070483511,64.51400821184001,-6.787991467835612,-1.904872066252346
1,0.25,138,10,random,100,3.0592386042613238,0.8563232020380702,7.933108509839601,89.20570415775916,72.00861675695165,61.437076015449854,-7.07678530780153,-2.2029154022232538
1,0.25,138,20,coherent,5,1.0536130017011938,0.37024367991111096,2.8900350904593197,87.18895555512901,64.85961360449188,63.543245368216596,-2.519791410548209,-0.6833693217900828
1,0.25,138,20,coherent,20,1.1876825150803936,0.3901078837604581,3.185130362726829,87.75221609998776,67.15385813909604,62.711651335250096,-2.795022478966371,-0.7975746313199354
1,0.25,138,20,coherent,50,1.3495019145191445,0.39238650393381713,3.750350830601368,89.53733872756385,70.92360524189158,64.01664869569676,-3.357964326667551,-0.9571154105853273
1,0.25,138,20,coherent,100,1.5369253686502806,0.3985886958559627,3.944193549598149,89.89429167601138,74.06583924071725,61.03321631346238,-3.5456048537421863,-1.1383366727943178
1,0.25,138,20,partial,5,1.0372722517528743,0.383782452867539,2.8335553553845054,86.45579829106742,63.000798274610204,63.393259645279834,-2.4497729025169663,-0.6534897988853353
1,0.25,138,20,partial,20,1.1941349069264942,0.3891364529733198,3.154973065805168,87.66593422964738,67.41268924338769,62.15070994205956,-2.765836612831848,-0.8049984539531744
1,0.25,138,20,partial,50,1.3701126184501957,0.3963093167661588,3.6962720825703443,89.27813462015031,71.07469039921371,62.93258213022469,-3.2999627658041857,-0.9738033016840368
1,0.25,138,20,partial,100,1.5151530661389396,0.41510037397095373,4.109119720557791,89.8980705795886,72.60340336248979,63.12706445230402,-3.6940193465868374,-1.1000526921679858
1,0.25,138,20,random,5,1.0782015285561788,0.36697239610849414,2.830413365735851,87.0346713115846,65.96439660033617,61.90657019894803,-2.463440969627357,-0.7112291324476847
1,0.25,138,20,random,20,1.1836137097957553,0.40039137770739736,3.1310048242876163,87.21204852188318,66.17212403052606,62.19700140305413,-2.730613446580219,-0.783222332088358
1,0.25,138,20,random,50,1.304938820170103,0.39028601038689975,3.572645201058366,89.07571313626998,70.09162388654936,63.474155794045096,-3.182359190671466,-0.9146528097832034
