time_s,fault_current_kA,backbone_voltage_pu,campus1_voltage_pu,campus2_voltage_pu,campus3_voltage_pu
0.0323,0.5287379019644932,0.9728900690147315,0.9728900690147315,0.985890112047016,0.9887120896376128
0.0324,0.5199986331356119,0.9730402621529667,0.9730402621529667,0.9859464388700795,0.9887571510960635
0.0325,0.5114038117151343,0.9731896231983874,0.9731896231983874,0.9860025408358649,0.9888020326686919
0.032600000000000004,0.5029510501973998,0.9733381567609143,0.9733381567609143,0.9860584188420052,0.9888467350736042
0.0327,0.4946380005387461,0.9734858674249285,0.9734858674249285,0.9861140737825496,0.9888912590260396
0.0328,0.4864623535052586,0.9736327597494127,0.9736327597494127,0.9861695065479782,0.9889356052383825
0.0329,0.47842183803130234,0.9737788382680923,0.9737788382680923,0.9862247180252165,0.9889797744201732
0.033,0.47051422058865533,0.9739241074895753,0.9739241074895753,0.9862797090976494,0.9890237672781195
0.033100000000000004,0.4627373045660701,0.974068571897491,0.974068571897491,0.9863344806451351,0.9890675845161081
0.0332,0.45508892965908954,0.974212235950629,0.974212235950629,0.9863890335440195,0.9891112268352157
0.0333,0.4475669712699486,0.9743551040830764,0.9743551040830764,0.9864433686671504,0.9891546949337203
0.0334,0.4401693399173945,0.9744971807043548,0.9744971807043548,0.9864974868838907,0.9891979895071126
0.0335,0.4328939806562617,0.9746384701995563,0.9746384701995563,0.9865513890601332,0.9892411112481065
0.033600000000000005,0.4257388725066409,0.974778976929479,0.974778976929479,0.9866050760583136,0.9892840608466509
0.0337,0.41870202789248234,0.9749187052307617,0.9749187052307617,0.9866585487374252,0.9893268389899402
0.033800000000000004,0.41178149208947906,0.9750576594160173,0.9750576594160173,0.986711807953032,0.9893694463624256
0.0339,0.4049753426820748,0.9751958437739662,0.9751958437739662,0.9867648545572827,0.9894118836458261
0.034,0.3982816890294479,0.9753332625695688,0.9753332625695688,0.9868176893989238,0.9894541515191391
0.0341,0.39169867174032047,0.9754699200441566,0.9754699200441566,0.9868703133233141,0.9894962506586513
0.0342,0.3852244621564495,0.975605820415564,0.975605820415564,0.9869227271724375,0.9895381817379499
0.034300000000000004,0.37885726184465407,0.9757409678782576,0.9757409678782576,0.9869749317849167,0.9895799454279333
0.0344,0.3725953020972392,0.9758753666034662,0.9758753666034662,0.9870269279960265,0.9896215423968212
0.0345,0.3664368434406766,0.9760090207393091,0.9760090207393091,0.9870787166377075,0.9896629733101661
0.0346,0.3603801751524067,0.9761419344109247,0.9761419344109247,0.9871302985385791,0.9897042388308632
0.0347,0.35442361478562656,0.9762741117205973,0.9762741117205973,0.9871816745239528,0.9897453396191622
0.034800000000000005,0.34856550770193306,0.9764055567478841,0.9764055567478841,0.9872328454158453,0.9897862763326762
0.0349,0.34280422661169035,0.9765362735497406,0.9765362735497406,0.9872838120329922,0.9898270496263937
0.035,0.33713817112199435,0.9766662661606466,0.9766662661606466,0.9873345751908602,0.9898676601526882
0.0351,0.331565767292109,0.9767955385927298,0.9767955385927298,0.9873851357016612,0.9899081085613289
0.0352,0.32608546719625053,0.9769240948358907,0.9769240948358907,0.9874354943743643,0.9899483954994914
0.035300000000000005,0.3206957484935979,0.9770519388579244,0.9770519388579244,0.9874856520147093,0.9899885216117674
0.0354,0.3153951140054105,0.9771790746046445,0.9771790746046445,0.9875356094252196,0.9900284875401757
0.035500000000000004,0.3101820912991358,0.9773055060000037,0.9773055060000037,0.9875853674052147,0.9900682939241718
0.0356,0.3050552322793908,0.9774312369462156,0.9774312369462156,0.9876349267508235,0.9901079414006588
0.0357,0.3000131127857037,0.977556271323875,0.977556271323875,0.9876842882549967,0.9901474306039972
0.0358,0.2950543321969049,0.9776806129920775,0.9776806129920775,0.987733452707519,0.9901867621660152
0.0359,0.2901775130420565,0.977804265788539,0.977804265788539,0.987782420895023,0.9902259367160184
0.036000000000000004,0.2853813006178127,0.9779272335297134,0.9779272335297134,0.9878311936010007,0.9902649548808006
0.0361,0.28066436261210437,0.9780495200109112,0.9780495200109112,0.9878797716058164,0.9903038172846531
0.0362,0.27602538873404386,0.9781711290064162,0.9781711290064162,0.9879281556867192,0.9903425245493754
0.0363,0.27146309034994726,0.9782920642696022,0.9782920642696022,0.9879763466178555,0.9903810772942845
0.0364,0.26697620012537177,0.9784123295330486,0.9784123295330486,0.9880243451702813,0.9904194761362249
0.036500000000000005,0.2625634716730705,0.9785319285086557,0.9785319285086557,0.9880721521119742,0.9904577216895794
0.0366,0.25822367920676564,0.9786508648877594,0.9786508648877594,0.9881197682078464,0.9904958145662771
0.0367,0.2539556172006448,0.9787691423412452,0.9787691423412452,0.9881671942197565,0.9905337553758052
0.0368,0.24975810005448432,0.9788867645196612,0.9788867645196612,0.9882144309065217,0.9905715447252174
0.0369,0.24562996176430868,0.9790037350533306,0.9790037350533306,0.98826147902393,0.990609183219144
0.037000000000000005,0.24157005559849298,0.9791200575524647,0.9791200575524647,0.9883083393247523,0.9906466714598018
0.0371,0.23757725377921887,0.979235735607273,0.979235735607273,0.9883550125587542,0.9906840100470035
0.037200000000000004,0.23365044716919575,0.9793507727880753,0.9793507727880753,0.9884014994727088,0.9907211995781671
0.0373,0.22978854496356,0.9794651726454107,0.9794651726454107,0.9884478008104075,0.990758240648326
0.0374,0.22599047438686645,0.9795789387101483,0.9795789387101483,0.9884939173126727,0.9907951338501382
0.0375,0.22225518039508857,0.9796920744935954,0.9796920744935954,0.9885398497173694,0.9908318797738955
0.0376,0.21858162538254358,0.9798045834876061,0.9798045834876061,0.9885855987594171,0.9908684790075337
0.037700000000000004,0.21496878889366233,0.9799164691646892,0.9799164691646892,0.9886311651708015,0.9909049321366412
0.0378,0.21141566733952247,0.9800277349781151,0.9800277349781151,0.988676549680586,0.9909412397444688
0.0379,0.2079212737190676,0.9801383843620229,0.9801383843620229,0.9887217530149239,0.9909774024119391
0.038,0.2044846373449339,0.9802484207315256,0.9802484207315256,0.9887667758970694,0.9910134207176555
0.0381,0.20110480357380836,0.9803578474828163,0.9803578474828163,0.9888116190473897,0.9910492952379117
0.038200000000000005,0.19778083354124412,0.9804666679932725,0.9804666679932725,0.988856283183376,0.9910850265467008
0.0383,0.1945118039008587,0.9805748856215606,0.9805748856215606,0.9889007690196555,0.9911206152157244
0.038400000000000004,0.19129680656784287,0.9806825037077394,0.9806825037077394,0.9889450772680025,0.9911560618144021
0.0385,0.18813494846670917,0.9807895255733634,0.9807895255733634,0.9889892086373501,0.99119136690988
0.0386,0.18502535128320957,0.980895954521585,0.980895954521585,0.9890331638338008,0.9912265310670406
0.038700000000000005,0.1819671512203536,0.9810017938372567,0.9810017938372567,0.989076943560639,0.9912615548485112
0.0388,0.17895949875845926,0.9811070467870326,0.9811070467870326,0.9891205485183411,0.9912964388146729
0.038900000000000004,0.17600155841916987,0.9812117166194689,0.9812117166194689,0.9891639794045874,0.9913311835236699
0.039,0.17309250853337133,0.9813158065651241,0.9813158065651241,0.989207236914273,0.9913657895314184
0.0391,0.17023154101294544,0.9814193198366592,0.9814193198366592,0.989250321739519,0.9914002573916152
