scenario,run,h,vh_pct
Traditional AC,38,13,0.9589412200869573
Traditional AC,38,17,0.269995966695061
Traditional AC,38,19,0.21580380544059008
Traditional AC,38,23,0.683327485748408
Traditional AC,38,25,0.29604698139389946
Traditional AC,38,29,0.21788419427557995
Traditional AC,38,31,0.09689806190655327
Traditional AC,39,5,0.1653543623468415
Traditional AC,39,7,0.7085258719290273
Traditional AC,39,11,2.8403548280575555
Traditional AC,39,13,0.9484363141618378
Traditional AC,39,17,0.15964888221456594
Traditional AC,39,19,0.402325866849127
Traditional AC,39,23,0.8657927210414137
Traditional AC,39,25,1.0638029132282412
Traditional AC,39,29,0.24605976151757403
Traditional AC,39,31,0.17691529181464552
Traditional AC,40,5,0.40224380607210686
Traditional AC,40,7,0.4003617426310134
Traditional AC,40,11,0.931293747937549
Traditional AC,40,13,0.23829891725168004
Traditional AC,40,17,0.43886286286047926
Traditional AC,40,19,0.4322529886600113
Traditional AC,40,23,0.3077678945855708
Traditional AC,40,25,0.6812813917336966
Traditional AC,40,29,0.02939324747150804
Traditional AC,40,31,0.13788542249440264
Traditional AC,41,5,0.3741613455174469
Traditional AC,41,7,0.3279770142281945
Traditional AC,41,11,1.1888927785942314
Traditional AC,41,13,0.1734346038034284
Traditional AC,41,17,0.224015025269254
Traditional AC,41,19,0.5170068234973825
Traditional AC,41,23,0.27368016370134207
Traditional AC,41,25,0.24935918238886942
Traditional AC,41,29,0.23020351602369474
Traditional AC,41,31,0.12539919689381093
Traditional AC,42,5,0.13129387152424413
Traditional AC,42,7,0.6606827387385115
Traditional AC,42,11,2.2750279879594926
Traditional AC,42,13,0.3929540064760093
Traditional AC,42,17,0.22693919585857875
Traditional AC,42,19,0.10540194802927733
Traditional AC,42,23,0.7311855916664225
Traditional AC,42,25,0.3384882409480374
Traditional AC,42,29,0.10734897244999032
Traditional AC,42,31,0.05925438478356508
Traditional AC,43,5,0.7324098027792754
Traditional AC,43,7,1.2670970920644724
Traditional AC,43,11,2.7197754776307765
Traditional AC,43,13,0.9226695500988581
Traditional AC,43,17,0.3711595813044844
Traditional AC,43,19,0.561899843281721
Traditional AC,43,23,1.0247653280100362
Traditional AC,43,25,0.7175600235791849
Traditional AC,43,29,0.258511259324607
Traditional AC,43,31,0.25354714426862834
Traditional AC,44,5,0.4154023951535081
Traditional AC,44,7,0.2254003400182426
Traditional AC,44,11,1.189327656482223
Traditional AC,44,13,0.4456511956859462
Traditional AC,44,17,0.3322883471417134
Traditional AC,44,19,0.2995180490341694
Traditional AC,44,23,0.27253105887551976
Traditional AC,44,25,0.6118476881708658
Traditional AC,44,29,0.226566767558518
Traditional AC,44,31,0.33077126354740205
Traditional AC,45,5,0.6928242321644935
Traditional AC,45,7,1.1947060231168982
Traditional AC,45,11,5.182536802927294
Traditional AC,45,13,1.2740209089130212
Traditional AC,45,17,0.26733042770181953
Traditional AC,45,19,0.3557036761580383
Traditional AC,45,23,1.219574491033569
Traditional AC,45,25,0.8341545013467637
Traditional AC,45,29,0.2769917042993538
Traditional AC,45,31,0.49350332756306564
Traditional AC,46,5,0.7209376243002076
Traditional AC,46,7,1.2674506653474409
