dataset_id,dataset_role,pocket_id,scenario_id,architecture,thdv_p50_pct,thdv_p95_pct,thdv_max_pct,source_count
A,Full Texas Combined T&D,A-mpc-0042,C3,Converted DC backbone,0.1995342461006679,0.2727254660789344,0.32224648242218384,1
A,Full Texas Combined T&D,A-mpc-0043,C0,C0/C1 Traditional 400 V AC,3.5281286534313914,5.756079881948683,7.586791227712697,3
A,Full Texas Combined T&D,A-mpc-0043,C2,MV SST,1.0772066025181748,1.8278267755043212,2.55153471816104,3
A,Full Texas Combined T&D,A-mpc-0043,C3,Converted DC backbone,0.19958100490247804,0.27616473367613653,0.31710725620018965,1
A,Full Texas Combined T&D,A-mpc-0047,C0,C0/C1 Traditional 400 V AC,3.4539213305614007,5.68503845269213,7.309785129379314,3
A,Full Texas Combined T&D,A-mpc-0047,C2,MV SST,1.1406052467906884,1.85473129533195,2.8402850941997473,3
A,Full Texas Combined T&D,A-mpc-0047,C3,Converted DC backbone,0.2037101700936777,0.2723945437435787,0.3152306292248034,1
A,Full Texas Combined T&D,A-mpc-0048,C0,C0/C1 Traditional 400 V AC,3.454870965023616,5.9695920452204065,7.589361127266654,3
A,Full Texas Combined T&D,A-mpc-0048,C2,MV SST,1.0902189271827534,1.8007285419982058,2.4689490652499373,3
A,Full Texas Combined T&D,A-mpc-0048,C3,Converted DC backbone,0.2051501043654083,0.27677729538031737,0.318635947383877,1
A,Full Texas Combined T&D,A-mpc-0052,C0,C0/C1 Traditional 400 V AC,3.455735870101053,5.699320506818773,7.177550031381293,3
A,Full Texas Combined T&D,A-mpc-0052,C2,MV SST,1.1921271586621955,1.8401104143682874,2.7139033677743236,3
A,Full Texas Combined T&D,A-mpc-0052,C3,Converted DC backbone,0.2053752328614425,0.2713561223690695,0.32011133854171814,1
A,Full Texas Combined T&D,A-mpc-0053,C0,C0/C1 Traditional 400 V AC,3.4678708381200325,5.867462791651314,8.116642613250018,3
A,Full Texas Combined T&D,A-mpc-0053,C2,MV SST,1.0888542698362937,1.7593943859595143,2.4288778767324,3
A,Full Texas Combined T&D,A-mpc-0053,C3,Converted DC backbone,0.2020315546004297,0.27039537271264535,0.3308933232531337,1
A,Full Texas Combined T&D,A-mpc-0054,C0,C0/C1 Traditional 400 V AC,3.541040216951392,5.7699107178925395,7.4816428458987065,3
A,Full Texas Combined T&D,A-mpc-0054,C2,MV SST,1.1376598096355715,1.8440611241189453,2.6760117908116263,3
