time_s,poi_voltage_pu,poi_angle_rad,poi_bus,event
1.5,1.04686977,0.00434045,150,1
1.52,1.04539836,0.00523996,150,1
1.54,1.04396962,0.00558823,150,1
1.56,1.04259134,0.00541527,150,1
1.58,1.04126888,0.0047513,150,1
1.6,1.0400059,0.00362606,150,1
1.62,1.03880496,0.00206822,150,1
1.64,1.03766793,0.00010498,150,1
1.66,1.03659623,-0.0022382,150,1
1.68,1.03559092,-0.0049378,150,1
1.7,1.03465273,-0.00797221,150,1
1.72,1.03378203,-0.01132165,150,1
1.74,1.03297873,-0.01496801,150,1
1.76,1.03224224,-0.01889459,150,1
1.78,1.03157131,-0.02308586,150,1
1.8,1.03096402,-0.02752715,150,1
1.82,1.03041772,-0.03220443,150,1
1.84,1.02992904,-0.03710403,150,1
1.86,1.02949393,-0.0422125,150,1
1.88,1.02910771,-0.04751646,150,1
1.9,1.02876519,-0.05300256,150,1
1.92,1.02846083,-0.05865742,150,1
1.94,1.02818882,-0.06446776,150,1
1.96,1.0279433,-0.07042041,150,1
1.98,1.02771849,-0.0765025,150,1
2.0,1.02750884,-0.08270155,150,1
2.02,1.0273092,-0.08900571,150,1
2.04,1.02711489,-0.09540384,150,1
2.06,1.02692182,-0.10188569,150,1
2.08,1.02672658,-0.10844195,150,1
2.1,1.02652642,-0.11506439,150,1
2.12,1.02631929,-0.12174582,150,1
2.14,1.02610379,-0.12848007,150,1
2.16,1.02587914,-0.13526193,150,1
2.18,1.0256451,-0.14208703,150,1
2.2,1.02540189,-0.14895167,150,1
2.22,1.02515008,-0.15585267,150,1
2.24,1.02489051,-0.16278713,150,1
2.26,1.02462421,-0.1697523,150,1
2.28,1.0243523,-0.17674534,150,1
2.3,1.02407594,-0.18376317,150,1
2.32,1.02379631,-0.19080235,150,1
2.34,1.02351452,-0.19785895,150,1
2.36,1.02323166,-0.20492853,150,1
2.38,1.02294874,-0.21200606,150,1
2.4,1.02266675,-0.219086,150,1
2.42,1.02238667,-0.22616229,150,1
2.44,1.02210946,-0.23322848,150,1
2.46,1.02183613,-0.2402778,150,1
2.48,1.0215677,-0.24730328,150,1
2.5,1.02130527,-0.2542979,150,1
2.52,1.02104996,-0.26125467,150,1
2.54,1.02080297,-0.26816677,150,1
2.56,1.0205655,-0.27502764,150,1
2.58,1.02033876,-0.28183109,150,1
2.6,1.02012393,-0.28857132,150,1
2.62,1.01992212,-0.29524299,150,1
2.64,1.0197343,-0.30184124,150,1
2.66,1.01956134,-0.30836171,150,1
2.68,1.01940388,-0.31480051,150,1
2.7,1.01926234,-0.32115418,150,1
2.72,1.01913691,-0.32741973,150,1
2.74,1.0190275,-0.33359451,150,1
2.76,1.01893376,-0.33967626,150,1
2.78,1.01885508,-0.34566303,150,1
2.8,1.01879058,-0.35155315,150,1
2.82,1.01873917,-0.35734522,150,1
2.84,1.01869954,-0.36303812,150,1
2.86,1.01867024,-0.36863094,150,1
2.88,1.01864969,-0.37412304,150,1
2.9,1.01863624,-0.37951403,150,1
2.92,1.01862823,-0.38480376,150,1
2.94,1.01862397,-0.38999238,150,1
2.96,1.01862186,-0.3950803,150,1
2.98,1.01862037,-0.40006821,150,1
0.0,1.01660454,-0.13451618,150,2
0.02,1.01656852,-0.13620191,150,2
