time_s,poi_voltage_pu,griddyn_field
6.420000,1.00000000,travis_proxy_event_voltage
6.440000,1.00000000,travis_proxy_event_voltage
6.460000,1.00000000,travis_proxy_event_voltage
6.480000,1.00000000,travis_proxy_event_voltage
6.500000,1.00000000,travis_proxy_event_voltage
6.520000,1.00000000,travis_proxy_event_voltage
6.540000,1.00000000,travis_proxy_event_voltage
6.560000,1.00000000,travis_proxy_event_voltage
6.580000,1.00000000,travis_proxy_event_voltage
6.600000,1.00000000,travis_proxy_event_voltage
6.620000,1.00000000,travis_proxy_event_voltage
6.640000,1.00000000,travis_proxy_event_voltage
6.660000,1.00000000,travis_proxy_event_voltage
6.680000,1.00000000,travis_proxy_event_voltage
6.700000,1.00000000,travis_proxy_event_voltage
6.720000,1.00000000,travis_proxy_event_voltage
6.740000,1.00000000,travis_proxy_event_voltage
6.760000,1.00000000,travis_proxy_event_voltage
6.780000,1.00000000,travis_proxy_event_voltage
6.800000,1.00000000,travis_proxy_event_voltage
6.820000,1.00000000,travis_proxy_event_voltage
6.840000,1.00000000,travis_proxy_event_voltage
6.860000,1.00000000,travis_proxy_event_voltage
6.880000,1.00000000,travis_proxy_event_voltage
6.900000,1.00000000,travis_proxy_event_voltage
6.920000,1.00000000,travis_proxy_event_voltage
6.940000,1.00000000,travis_proxy_event_voltage
6.960000,1.00000000,travis_proxy_event_voltage
6.980000,1.00000000,travis_proxy_event_voltage
7.000000,1.00000000,travis_proxy_event_voltage
7.020000,1.00000000,travis_proxy_event_voltage
7.040000,1.00000000,travis_proxy_event_voltage
7.060000,1.00000000,travis_proxy_event_voltage
7.080000,1.00000000,travis_proxy_event_voltage
7.100000,1.00000000,travis_proxy_event_voltage
7.120000,1.00000000,travis_proxy_event_voltage
7.140000,1.00000000,travis_proxy_event_voltage
7.160000,1.00000000,travis_proxy_event_voltage
7.180000,1.00000000,travis_proxy_event_voltage
7.200000,1.00000000,travis_proxy_event_voltage
7.220000,1.00000000,travis_proxy_event_voltage
7.240000,1.00000000,travis_proxy_event_voltage
7.260000,1.00000000,travis_proxy_event_voltage
7.280000,1.00000000,travis_proxy_event_voltage
7.300000,1.00000000,travis_proxy_event_voltage
7.320000,1.00000000,travis_proxy_event_voltage
7.340000,1.00000000,travis_proxy_event_voltage
7.360000,1.00000000,travis_proxy_event_voltage
7.380000,1.00000000,travis_proxy_event_voltage
7.400000,1.00000000,travis_proxy_event_voltage
7.420000,1.00000000,travis_proxy_event_voltage
7.440000,1.00000000,travis_proxy_event_voltage
7.460000,1.00000000,travis_proxy_event_voltage
7.480000,1.00000000,travis_proxy_event_voltage
7.500000,1.00000000,travis_proxy_event_voltage
7.520000,1.00000000,travis_proxy_event_voltage
7.540000,1.00000000,travis_proxy_event_voltage
7.560000,1.00000000,travis_proxy_event_voltage
7.580000,1.00000000,travis_proxy_event_voltage
7.600000,1.00000000,travis_proxy_event_voltage
7.620000,1.00000000,travis_proxy_event_voltage
7.640000,1.00000000,travis_proxy_event_voltage
7.660000,1.00000000,travis_proxy_event_voltage
7.680000,1.00000000,travis_proxy_event_voltage
7.700000,1.00000000,travis_proxy_event_voltage
7.720000,1.00000000,travis_proxy_event_voltage
7.740000,1.00000000,travis_proxy_event_voltage
7.760000,1.00000000,travis_proxy_event_voltage
7.780000,1.00000000,travis_proxy_event_voltage
7.800000,1.00000000,travis_proxy_event_voltage
7.820000,1.00000000,travis_proxy_event_voltage
7.840000,1.00000000,travis_proxy_event_voltage
7.860000,1.00000000,travis_proxy_event_voltage
7.880000,1.00000000,travis_proxy_event_voltage
7.900000,1.00000000,travis_proxy_event_voltage
7.920000,1.00000000,travis_proxy_event_voltage
7.940000,1.00000000,travis_proxy_event_voltage
7.960000,1.00000000,travis_proxy_event_voltage
