# travis150_greenfield_proxy_recorder: 
"time", "travis_source:voltage", "travis_poi:voltage", "travis_source:angle", "travis_poi:angle", "travis_source:busgenerationreal", "travis_poi:busgenerationreal", "travis_source:busloadreal", "travis_poi:busloadreal"
2.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.84s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.86s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.88s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.9s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.92s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.94s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.96s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.98s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.84s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.86s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.88s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.9s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.92s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.94s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.96s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
3.98s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
